Asset Name,Serial Number,Model
CHAS4845,99630Z2,Latitude 5590
CHAS4846,86L30Z2,Latitude 5590
CHAS4849,GFW34Z2,Precision Tower 3430
CHAS4851,GFW44Z2,Precision Tower 3430
CHAS4854,1L7LZY2,Latitude 5590
CHAS4856,GZ4S4Z2,Precision Tower 3430
CHAS4857,30WV4Z2,OptiPlex 7460 AIO
CHAS4858,317V4Z2,OptiPlex 7460 AIO
CHAS4859,312Z4Z2,OptiPlex 7460 AIO
CHAS4860,,
CHAS4861,4RVJ2Z2,Latitude 5500
CHAS4862,7QVJ2Z2,Latitude 5500
CHAS4863,D96V2Z2,Latitude 5500
CHAS4864,2JSZ1Z2,Latitude 5500
CHAS4865,30K72Z2,Latitude 5500
CHAS4866,9ZJ72Z2,Latitude 5500
CHAS4867,7DD15Z2,OptiPlex 7460 AIO
CHAS4869,2PHXZY2,Latitude 5500
CHAS4870,2G95BZ2,OptiPlex 7460 AIO
CHAS4871,2G94BZ2,OptiPlex 7460 AIO
CHAS4872,2G9CBZ2,OptiPlex 7460 AIO
CHAS4874,2G97BZ2,OptiPlex 7460 AIO
CHAS4875,2G99BZ2,OptiPlex 7460 AIO
CHAS4876,2G8DBZ2,OptiPlex 7460 AIO
CHAS4877,2G8FBZ2,OptiPlex 7460 AIO
CHAS4878,2G9BBZ2,OptiPlex 7460 AIO
CHAS4879,2G98BZ2,OptiPlex 7460 AIO
CHAS4880,2G8CBZ2,OptiPlex 7460 AIO
CHAS4881,BN6X9Z2,Precision Tower 3430
CHAS4883,7R812X2,Latitude 5500
CHAS4884,8D8F1X2,Latitude 5500
CHAS4885,27TJ1X2,Latitude 5500
CHAS4886,GW7T1X2,Latitude 5500
CHAS4888,8VRHBZ2,OptiPlex 7460 AIO
CHAS4889,H1VGPX2,OptiPlex 7460 AIO
CHAS4890,991W9Z2,OptiPlex 7070
CHAS4892,BN6Y9Z2,Precision Tower 3430
CHAS4893,BN6Z9Z2,Precision Tower 3430
CHAS4894,56FH1Z2,Latitude 5500
CHAS4896,H6SH1Z2,Latitude 5500
CHAS4897,F6FH1Z2,Latitude 5500
CHAS4901,1Z7D1Z2,Latitude 5500
CHAS4902,52B5ZY2,Precision 5540
CHAS4903,DXR0BZ2,OptiPlex 7460 AIO
CHAS4904,2GDGZY2,Latitude 5500
CHAS4905,6K18ZY2,Latitude 5500
CHAS4905,,
CHAS4905.chas.local,,
CHAS4906,D7CGZY2,Latitude 5500
CHAS4910,FCBGZY2,Latitude 5500
CHAS4911,BM83ZY2,Latitude 5500
CHAS4912,G6CB9Y2,Latitude 5500
CHAS4915,DG95ZY2,Latitude 5500
CHAS4916,5XVCZY2,Latitude 5500
CHAS4917,DYPP9Y2,Latitude 5500
CHAS4918,G7XS903,OptiPlex 7470 AIO
CHAS4919,BJ09ZY2,Latitude 5500
CHAS4920,GJ8C9Y2,Latitude 5500
CHAS4921,FF09ZY2,Latitude 5500
CHAS4921.chas.local,,
CHAS4922,2749ZY2,Latitude 5500
CHAS4923,35J9ZY2,Latitude 5500
CHAS4924,DYW99Y2,Latitude 5500
CHAS4925,FK09ZY2,Latitude 5500
CHAS4926,5549ZY2,Latitude 5500
CHAS4927,3L95B03,OptiPlex 7470 AIO
CHAS4928,DK0QXY2,Latitude 5500
CHAS4929,8QKQXY2,Latitude 5500
CHAS4932,CD8SXY2,Precision 5540
CHAS4933.chas.local,,
CHAS4934,CCJ8H13,OptiPlex 7470 AIO
CHAS4935,CNS4H03,OptiPlex 7470 AIO
CHAS4936,F3C3H03,OptiPlex 7470 AIO
CHAS4937,CNS3H03,OptiPlex 7470 AIO
CHAS4938,G80DYY2,Latitude 5500
CHAS4940,CZW03Z2,Precision 5540
CHAS4941,7SZJH03,Precision Tower 3431
CHAS4942,7SYTH03,Precision Tower 3431
CHAS4944,HLVV2Z2,Latitude 5500
CHAS4946,BZSP3Z2,Latitude 5500
CHAS4947,9NWP3Z2,Latitude 5500
CHAS4948,HR7R513,OptiPlex 7470 AIO
CHAS4949,52HN513,OptiPlex 7470 AIO
CHAS4950,52HM513,OptiPlex 7470 AIO
CHAS4952,HR7S513,OptiPlex 7470 AIO
CHAS4953,52HP513,OptiPlex 7470 AIO
CHAS4954,6S169Y2,Latitude 5500
CHAS4955,HR7Q513,OptiPlex 7470 AIO
CHAS4956,14XNYY2,Latitude 5500
CHAS4957,CLWNYY2,Latitude 5500
CHAS4959,FSVNYY2,Latitude 5500
CHAS4960,BVVNYY2,Latitude 5500
CHAS4961,HJWNYY2,Latitude 5500
CHAS4962,BHWNYY2,Latitude 5500
CHAS4963,7XVNYY2,Latitude 5500
CHAS4964,BCWNYY2,Latitude 5500
CHAS4965,23XNYY2,Latitude 5500
CHAS4966,CM2QYY2,Latitude 5500
CHAS4967,8TVNYY2,Latitude 5500
CHAS4968,7MWNYY2,Latitude 5500
CHAS4969,J4YNYY2,Latitude 5500
CHAS4970,3FWNYY2,Latitude 5500
CHAS4971,52DPYY2,Latitude 5500
CHAS4972,29XNYY2,Latitude 5500
CHAS4973,1B1SG13,OptiPlex 7470 AIO
CHAS4974,1B2D613,OptiPlex 7470 AIO
CHAS4975,1B1RG13,OptiPlex 7470 AIO
CHAS4976,1B2C613,OptiPlex 7470 AIO
CHAS4979,4VYM3X2,Latitude 5500
CHAS4979,,
CHAS4981,JRG8QV2,Latitude 5500
CHAS4981.chas.local,,
CHAS4981.chas.local,,
CHAS4983,D0K90R2,Latitude 5500
CHAS4985,4TJ90R2,Latitude 5500
CHAS4986,5HK90R2,Latitude 5500
CHAS4987,1MDB3X2,Latitude 5500
CHAS4988,G0K90R2,Latitude 5500
CHAS4989,9SJ90R2,Latitude 5500
CHAS4991,7CL90R2,Latitude 5500
CHAS4992,8JL92R2,Latitude 5500
CHAS4992.chas.local,,
CHAS4993,BKG92R2,Latitude 5500
CHAS4993.chas.local,,
CHAS4997,5Y5B3X2,Latitude 5500
CHAS4998,8DJ83X2,Latitude 7400
CHAS4JYSGS3,,
CHAS5000,8MDDP13,XPS 13 7390
CHAS5002,1KZLSZ2,OptiPlex 7460 AIO
CHAS5003,1KSJS13,OptiPlex 7070
CHAS5006,1KSKH13,OptiPlex 7070
CHAS5007,BLNJK13,Precision 5540
CHAS5007.chas.local,,
CHAS5008,47JJK13,Precision 5540
CHAS5008,,
CHAS5008.chas.local,,
CHAS5010,7ZMSK13,Latitude 5500
CHAS5011,8R7SK13,Latitude 5500
CHAS5012,FHQ6K13,Latitude 5500
CHAS5014,4TJ5T13,OptiPlex 7070
CHAS5015,4TJ6T13,OptiPlex 7070
CHAS5015.chas.local,,
CHAS5017,1KRHS13,OptiPlex 7070
