name,serviceTag,model,status,imagedOn,inInventory
CHAS5952,32LB9G3,Latitude 5520,DEPLOYED,,0
CHAS6904,345X2T3,Precision 5570,DEPLOYED,,0
CHAS4923,35J9ZY2,Latitude 5500,DEPLOYED,,0
CHAS6176,35JZ2L3,OptiPlex 5090,DEPLOYED,,0
CHAS6987,35KQRT3,OptiPlex 5000,DEPLOYED,,0
CHAS7153,3615HS3,Latitude 5530,DEPLOYED,,0
CHAS5719,366Q253,Latitude 5500,DEPLOYED,,0
CHAS5483,36F6G73,OptiPlex 7480 AIO,DEPLOYED,,0
CHAS5583,36H6G73,OptiPlex 7480 AIO,DEPLOYED,,0
CHAS5481,36H7G73,OptiPlex 7480 AIO,DEPLOYED,,0
CHAS6218,36LBHG3,Latitude 5520,DEPLOYED,,0
CHAS5479,36MNN73,Latitude 7410,DEPLOYED,,0
CHAS5537,37YDN83,OptiPlex 7480 AIO,DEPLOYED,,0
CHAS5247,37Z7X33,Latitude 5500,DEPLOYED,,0
CHAS7200,38JFRV3,Precision 5570,DEPLOYED,,0
CHAS6537,3962SQ3,Latitude 7320 Detachable,DEPLOYED,,0
CHAS5905,39LB9G3,Latitude 5520,DEPLOYED,,0
CHAS5032,39WGP13,Latitude 5500,DEPLOYED,,0
CHAS5714,39ZZP93,Latitude 5520,DEPLOYED,,0
CHAS5865,3B2H4B3,Latitude 5520,DEPLOYED,,0
CHAS5168,3BBLL33,Latitude 5500,DEPLOYED,,0
CHAS5207,3BJ5L33,Latitude 5500,DEPLOYED,,0
CHAS6132,3BP4VG3,Latitude 5520,DEPLOYED,,0
CHAS5819,3BZZP93,Latitude 5520,DEPLOYED,,0
CHAS5259,3C25453,Latitude 5500,DEPLOYED,,0
CHAS6301,3CG54B3,Latitude 5520,DEPLOYED,,0
CHAS6659,3CMHPR3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS6737,3CNSPR3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS5478,3CPT573,Latitude 5510,DEPLOYED,,0
CHAS5772,3DDSR93,Latitude 5520,DEPLOYED,,0
CHAS6994,3FC88S3,Latitude 5530,DEPLOYED,,0
CHAS5647,3FFNZ93,Latitude 5520,DEPLOYED,,0
CHAS4970,3FWNYY2,Latitude 5500,DEPLOYED,,0
CHAS5134,3FZ6633,Latitude 5500,DEPLOYED,,0
CHAS6554,3FZSKQ3,OptiPlex 5090,DEPLOYED,,0
CHAS5253,3G0BX33,Latitude 5500,DEPLOYED,,0
CHAS7037,3G9S6S3,Latitude 5530,DEPLOYED,,0
CHAS6478,3GJCTG3,Latitude 5520,DEPLOYED,,0
CHAS6720,3GLWKR3,XPS 9315,DEPLOYED,,0
CHAS7135,3GQD7S3,Latitude 5530,DEPLOYED,,0
CHAS6008,3H27BG3,Latitude 5520,DEPLOYED,,0
CHAS4557,3H88BT2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4552,3H98BT2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS6959,3H9S6S3,Latitude 5530,DEPLOYED,,0
CHAS4561,3HB6BT2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4698,3HK0ZW2,Latitude 5590,DEPLOYED,,0
CHAS6056,3J27BG3,Latitude 5520,DEPLOYED,,0
CHAS7160,3J5M5S3,OptiPlex 5090,DEPLOYED,,0
CHAS6915,3J9S6S3,Latitude 5530,DEPLOYED,,0
CHAS4815,3JLB9G3,Latitude 5520,DEPLOYED,,0
CHAS6700,3JYGVL3,Latitude 5530,DEPLOYED,,0
CHAS7117,3JYSGS3,Latitude 5530,DEPLOYED,,0
CHAS6703,3K0HVL3,Latitude 5530,DEPLOYED,,0
CHAS5121,3K6BN13,Latitude 5500,DEPLOYED,,0
CHAS5393,3KFR253,Latitude 5500,DEPLOYED,,0
CHAS7063,3KYSGS3,Latitude 5530,DEPLOYED,,0
CHAS6698,3L0HVL3,Latitude 5530,DEPLOYED,,0
CHAS4927,3L95B03,OptiPlex 7470 AIO,DEPLOYED,,0
CHAS6595,3LNCPL3,Latitude 5520,DEPLOYED,,0
CHAS7136,3M05HS3,Latitude 5530,DEPLOYED,,0
CHAS6913,3M7S6S3,Latitude 5530,DEPLOYED,,0
CHAS6780,3M98QR3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS6781,3MBR5S3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS6375,3MBSRG3,Latitude 5520,DEPLOYED,,0
CHAS5589,3MGRN93,Latitude 5520,DEPLOYED,,0
CHAS6539,3MQJWG3,Latitude 5520,DEPLOYED,,0
CHAS6417,3MWPTG3,Latitude 5520,DEPLOYED,,0
CHAS6604,3NNCPL3,Latitude 5520,DEPLOYED,,0
CHAS6788,3NNFWL3,Latitude 5530,DEPLOYED,,0
